,0
0,KO
1,REG
2,STLD
3,IT
4,KEY
5,JCI
6,F
7,TGT
8,FRT
9,ESS
10,GPN
11,HLT
12,JPM
13,MRNA
14,MTCH
15,ZTS
16,JBL
17,SYK
18,MU
19,CTRA
20,SWKS
21,SBUX
22,NRG
23,ECL
24,WBD
25,TSLA
26,GLW
27,ORCL
28,SO
29,CRL
30,DVN
31,AVGO
32,ETN
33,BKR
34,SMCI
35,EMR
36,XOM
37,VRSN
38,AON
39,ITW
40,BEN
41,NXPI
42,WMT
43,CF
44,DIS
45,YUM
46,PKG
47,WDC
48,EFX
49,FSLR
50,BRK.B
51,EQIX
52,BR
53,MCHP
54,KEYS
55,PHM
56,COP
57,ACN
58,GEN
59,TFC
60,REGN
61,SYF
62,HWM
63,PM
64,XEL
65,WAT
66,TDG
67,DXCM
68,RMD
69,HAL
70,EVRG
71,WRB
72,BALL
73,TYL
74,HIG
75,MKTX
76,CZR
77,CTAS
78,WEC
79,NOW
80,CHTR
81,CFG
82,EQT
83,WAB
84,ICE
85,CMI
86,UAL
87,VLO
88,NWSA
89,AAPL
90,AIG
91,TDY
92,LNT
93,IQV
94,OTIS
95,JNJ
96,UNH
97,L
98,PPG
99,EIX
100,POOL
101,VRTX
102,SPGI
103,MSI
104,KMX
105,KIM
106,ALL
107,APTV
108,HUBB
109,HUM
110,PEG
111,BDX
112,FCX
113,"21,117.18"
114,CNP
115,PFG
116,RTX
117,AKAM
118,LOW
119,LDOS
120,TPR
121,PG
122,TTWO
123,KDP
124,BSX
125,DFS
126,FOXA
127,KLAC
128,TEL
129,FOX
130,STE
131,CTVA
132,ON
133,GPC
134,GEHC
135,AVY
136,GILD
137,FANG
138,CDW
139,JNPR
140,COST
141,WYNN
142,RL
143,MS
144,EXR
145,IFF
146,WELL
147,TFX
148,BWA
149,CPB
150,MTD
151,CNC
152,CSGP
153,EBAY
154,EQR
155,CPAY
156,NI
157,J
158,CE
159,GNRC
160,QCOM
161,CME
162,CINF
163,DAY
164,FI
165,VICI
166,GS
167,VTR
168,TRV
169,VLTO
170,RCL
171,BKNG
172,ERIE
173,DECK
174,FMC
175,SW
176,HPQ
177,DG
178,TER
179,ADP
180,VZ
181,ZBRA
182,EW
183,RSG
184,CAH
185,BMY
186,GWW
187,MAR
188,WST
189,AJG
190,SYY
191,TJX
192,KMB
193,UBER
194,RVTY
195,DVA
196,TRGP
197,AMT
198,TPL
199,CL
200,BXP
201,LHX
202,PRU
203,PPL
204,CI
205,LRCX
206,FE
207,CTLT
208,MDLZ
209,MCO
210,GM
211,KR
212,NTAP
213,EXPE
214,T
215,PNC
216,K
217,PH
218,FICO
219,COO
220,OXY
221,AVB
222,ULTA
223,SNA
224,DELL
225,NTRS
226,TXN
227,KHC
228,ORLY
229,ELV
230,ADI
231,NDAQ
232,DE
233,ADM
234,HCA
235,ALGN
236,CHRW
237,CARR
238,HST
239,MMM
240,ATO
241,SNPS
242,BAC
243,BK
244,NVDA
245,PNR
246,MMC
247,HII
248,VST
249,PFE
250,SRE
251,CMG
252,PLTR
253,RJF
254,META
255,ABBV
256,AEE
257,CSX
258,WMB
259,GL
260,GD
261,PYPL
262,XYL
263,IP
264,BRO
