train/learning_rate,train/n_updates,time/time_elapsed,train/value_loss,train/policy_loss,time/iterations,train/explained_variance,train/reward,time/total_timesteps,time/fps,train/entropy_loss,train/std
0.0007,99,4,30.348867416381836,-50.36437225341797,100,0.01254570484161377,-4.0666623,500,124,-160.48492431640625,1.0013912916183472
0.0007,199,8,348.65283203125,-2466.680908203125,200,0.003535747528076172,-7.793317,1000,117,-160.53211975097656,1.0018640756607056
0.0007,299,12,188.62417602539062,-2103.47705078125,300,-0.03256940841674805,31.267647,1500,118,-160.6020965576172,1.0024893283843994
0.0007,399,16,286.8570556640625,-1500.9127197265625,400,0.018718838691711426,-25.508596,2000,117,-160.63800048828125,1.0028153657913208
0.0007,499,25,1760.7818603515625,6408.25146484375,500,0.016607344150543213,33.441914,2500,99,-160.74864196777344,1.0038546323776245
0.0007,599,30,3569.05810546875,-9356.490234375,600,0.02992725372314453,-33.779102,3000,98,-160.7758331298828,1.00419282913208
0.0007,699,34,725.4676513671875,-3272.64208984375,700,-0.004857778549194336,-0.2939829,3500,100,-160.79808044433594,1.0043673515319824
0.0007,799,39,6878.7626953125,-11338.21875,800,-0.0024770498275756836,27.071022,4000,101,-160.818115234375,1.0045381784439087
0.0007,899,43,1679.3173828125,3071.98486328125,900,-0.0008616447448730469,55.836674,4500,103,-160.82119750976562,1.0046145915985107
0.0007,999,49,897.0856323242188,4131.4423828125,1000,-0.003917813301086426,29.93434,5000,101,-160.83836364746094,1.0047227144241333
0.0007,1099,57,16642.560546875,19683.623046875,1100,0.000614166259765625,19.350582,5500,96,-160.79269409179688,1.0043652057647705
0.0007,1199,70,11409.2568359375,-6802.5341796875,1200,1.1920928955078125e-07,-25.570675,6000,85,-160.79177856445312,1.004622220993042
0.0007,1299,81,4328.501953125,-4923.7685546875,1300,-0.0007468461990356445,2.3704574,6500,79,-160.87095642089844,1.0052448511123657
0.0007,1399,90,4595.8525390625,919.0546875,1400,-9.822845458984375e-05,145.21954,7000,77,-160.95498657226562,1.005869746208191
0.0007,1499,95,1092.654541015625,36.152976989746094,1500,0.0013582706451416016,25.738596,7500,78,-160.97567749023438,1.006117343902588
0.0007,1599,100,11375.080078125,-9850.7412109375,1600,-1.5139579772949219e-05,117.04447,8000,79,-160.87298583984375,1.0052590370178223
0.0007,1699,105,8784.576171875,-5363.05615234375,1700,0.00020426511764526367,-182.67564,8500,80,-160.89651489257812,1.0055515766143799
0.0007,1799,111,12941.9130859375,16808.73046875,1800,-8.7738037109375e-05,20.985132,9000,80,-160.8351287841797,1.005022406578064
0.0007,1899,115,2124.236572265625,-4323.14306640625,1900,0.00030231475830078125,-109.6891,9500,82,-160.88214111328125,1.0055238008499146
0.0007,1999,119,8318.375,-11580.2958984375,2000,0.0008512735366821289,46.75838,10000,83,-160.8954620361328,1.0055866241455078
0.0007,2099,127,6783.609375,-11446.673828125,2100,0.0,81.66445,10500,82,-160.9749755859375,1.0062673091888428
0.0007,2199,136,2947.17138671875,4012.362060546875,2200,0.0,92.51513,11000,80,-161.0358428955078,1.0069416761398315
0.0007,2299,145,2497.30029296875,-3938.806640625,2300,1.1920928955078125e-07,65.871445,11500,79,-160.91412353515625,1.0057708024978638
0.0007,2399,160,6676.3369140625,-5632.98388671875,2400,3.546476364135742e-05,3.2167149,12000,74,-160.9476776123047,1.006014347076416
0.0007,2499,174,5655.4453125,-10982.9326171875,2500,0.0,-65.92309,12500,71,-160.9453887939453,1.0060347318649292
0.0007,2599,187,5632.9375,2433.94091796875,2600,0.0006369352340698242,42.110657,13000,69,-161.0649871826172,1.007153034210205
0.0007,2699,204,8059.50537109375,2307.11376953125,2700,-1.1920928955078125e-07,-178.9874,13500,65,-161.16909790039062,1.008069634437561
0.0007,2799,217,2596.971435546875,-5888.4208984375,2800,1.1920928955078125e-07,56.560936,14000,64,-161.15847778320312,1.0081173181533813
0.0007,2899,223,4558.7919921875,-7307.9912109375,2900,-0.004083752632141113,-37.460964,14500,64,-161.11874389648438,1.0077623128890991
0.0007,2999,228,2246.7373046875,1984.0531005859375,3000,0.0019242167472839355,20.039854,15000,65,-161.10433959960938,1.0077714920043945
0.0007,3099,234,282.25750732421875,-407.0144958496094,3100,0.0,71.12539,15500,66,-161.1791229248047,1.0082602500915527
0.0007,3199,239,1409.109130859375,-2580.967041015625,3200,-0.0036215782165527344,71.225784,16000,66,-161.18896484375,1.0082321166992188
