time/time_elapsed,time/fps,train/critic_loss,train/n_updates,train/actor_loss,time/episodes,time/total_timesteps,train/reward,train/learning_rate
190,10,38.290069580078125,1839,-10.599458694458008,4,1940,54.557926,0.001
462,8,5.668308258056641,3779,-9.21290397644043,8,3880,54.557926,0.001
684,8,1.2736207246780396,5719,-6.215949535369873,12,5820,54.557926,0.001
855,9,2.865551233291626,7659,-13.93015193939209,16,7760,54.557926,0.001
1037,9,0.5748648643493652,9599,-9.433492660522461,20,9700,54.557926,0.001
1283,9,0.8507472276687622,11539,-10.606785774230957,24,11640,54.557926,0.001
1529,8,0.39335256814956665,13479,-13.078293800354004,28,13580,54.557926,0.001
1809,8,0.5762667655944824,15419,-14.25412368774414,32,15520,54.557926,0.001
2050,8,1.360442876815796,17359,-12.016020774841309,36,17460,54.557926,0.001
2282,8,0.31952348351478577,19299,-10.067573547363281,40,19400,54.557926,0.001
2518,8,0.6155776381492615,21239,-13.867171287536621,44,21340,54.557926,0.001
2680,8,0.9097505807876587,23179,-12.360322952270508,48,23280,54.557926,0.001
2829,8,0.5963737964630127,25119,-15.694724082946777,52,25220,54.557926,0.001
3279,8,0.2241741269826889,27059,-10.208684921264648,56,27160,54.557926,0.001
3402,8,0.43260979652404785,28999,-11.878388404846191,60,29100,54.557926,0.001
